c_number,cpu,gpu,resolution,fps,cpu_score,gpu_score,power,price,ram_gb,is_good_for_gaming,is_good_for_productivity,is_good_for_design_render,is_good_for_workstation
c_53,i5-11600,RTX4060,1080P,103,17920,19550,325,949,16,1,0,0,0
c_54,i5-11600,RTX4060,1080P,103,17920,19550,325,999,32,1,0,0,0
c_55,i5-11600,RTX4060TI,1080P,123,17920,22712,375,1149,16,1,0,0,0
c_56,i5-11600,RTX4060TI,1080P,123,17920,22712,375,1199,32,1,0,0,0
c_57,i5-11600,RTX4070,1440P,98,17920,26921,425,1449,16,0,0,0,0
c_58,i5-11600,RTX4070,1440P,98,17920,26921,425,1499,32,0,0,0,0
c_59,i5-11600K,RTX4060,1080P,107,19521,19550,350,1049,16,1,0,0,0
c_60,i5-11600K,RTX4060,1080P,107,19521,19550,350,1099,32,1,0,0,0
c_61,i5-11600K,RTX4060TI,1080P,127,19521,22712,400,1249,16,1,0,0,0
c_62,i5-11600K,RTX4060TI,1080P,127,19521,22712,400,1299,32,1,0,0,0
c_63,i5-11600K,RTX4070,1440P,102,19521,26921,450,1549,16,0,0,0,0
c_64,i5-11600K,RTX4070,1440P,102,19521,26921,450,1599,32,0,0,0,0
c_65,i5-11600KF,RTX4060,1080P,107,19481,19550,345,999,16,1,0,0,0
c_66,i5-11600KF,RTX4060,1080P,107,19481,19550,345,1049,32,1,0,0,0
c_67,i5-11600KF,RTX4060TI,1080P,127,19481,22712,395,1199,16,1,0,0,0
c_68,i5-11600KF,RTX4060TI,1080P,127,19481,22712,395,1249,32,1,0,0,0
c_69,i5-11600KF,RTX4070,1440P,102,19481,26921,445,1499,16,0,0,0,0
c_70,i5-11600KF,RTX4070,1440P,102,19481,26921,445,1549,32,0,0,0,0
c_71,i5-11400,RTX5050,1080P,80,16664,16997,290,699,16,1,0,0,0
c_72,i5-11400,RTX5050,1080P,80,16664,16997,290,749,32,1,0,0,0
c_73,i5-11400,RTX5060,1080P,105,16664,20889,360,949,16,1,0,0,0
c_74,i5-11400,RTX5060,1080P,105,16664,20889,360,999,32,1,0,0,0
c_75,i5-11400,RTX5060TI,1080P,125,16664,22830,410,1149,16,1,0,0,0
c_76,i5-11400,RTX5060TI,1080P,125,16664,22830,410,1199,32,1,0,0,0
c_77,i5-11400,RTX5070,1440P,100,16664,28904,460,1449,16,0,0,0,0
c_78,i5-11400,RTX5070,1440P,100,16664,28904,460,1499,32,0,0,0,0
c_79,i5-11400F,RTX5050,1080P,80,16896,16997,285,649,16,1,0,0,0
c_80,i5-11400F,RTX5050,1080P,80,16896,16997,285,699,32,1,0,0,0
c_81,i5-11400F,RTX5060,1080P,105,16896,20889,355,899,16,1,0,0,0
c_82,i5-11400F,RTX5060,1080P,105,16896,20889,355,949,32,1,0,0,0
c_83,i5-11400F,RTX5060TI,1080P,125,16896,22830,405,1099,16,1,0,0,0
c_84,i5-11400F,RTX5060TI,1080P,125,16896,22830,405,1149,32,1,0,0,0
c_85,i5-11400F,RTX5070,1440P,100,16896,28904,455,1399,16,0,0,0,0
c_86,i5-11400F,RTX5070,1440P,100,16896,28904,455,1449,32,0,0,0,0
c_87,i5-11600,RTX5050,1080P,83,17920,16997,295,749,16,1,0,0,0
c_88,i5-11600,RTX5050,1080P,83,17920,16997,295,799,32,1,0,0,0
c_89,i5-11600,RTX5060,1080P,108,17920,20889,365,999,16,1,0,0,0
c_90,i5-11600,RTX5060,1080P,108,17920,20889,365,1049,32,1,0,0,0
c_91,i5-11600,RTX5060TI,1080P,128,17920,22830,415,1199,16,1,0,0,0
c_92,i5-11600,RTX5060TI,1080P,128,17920,22830,415,1249,32,1,0,0,0
c_93,i5-11600,RTX5070,1440P,103,17920,28904,465,1499,16,0,0,0,0
c_94,i5-11600,RTX5070,1440P,103,17920,28904,465,1549,32,0,0,0,0
c_95,i5-11600K,RTX5050,1080P,87,19521,16997,320,849,16,1,0,0,0
c_96,i5-11600K,RTX5050,1080P,87,19521,16997,320,899,32,1,0,0,0
c_97,i5-11600K,RTX5060,1080P,112,19521,20889,390,1099,16,1,0,0,0
c_98,i5-11600K,RTX5060,1080P,112,19521,20889,390,1149,32,1,0,0,0
c_99,i5-11600K,RTX5060TI,1080P,132,19521,22830,440,1299,16,1,0,0,0
c_100,i5-11600K,RTX5060TI,1080P,132,19521,22830,440,1349,32,1,0,0,0
c_101,i5-11600K,RTX5070,1440P,107,19521,28904,490,1599,16,0,0,0,0
c_102,i5-11600K,RTX5070,1440P,107,19521,28904,490,1649,32,0,0,0,0
c_103,i5-11600KF,RTX5050,1080P,87,19481,16997,315,799,16,1,0,0,0
c_104,i5-11600KF,RTX5050,1080P,87,19481,16997,315,849,32,1,0,0,0
c_105,i5-11600KF,RTX5060,1080P,112,19481,20889,385,1049,16,1,0,0,0
c_106,i5-11600KF,RTX5060,1080P,112,19481,20889,385,1099,32,1,0,0,0
c_107,i5-11600KF,RTX5060TI,1080P,132,19481,22830,435,1249,16,1,0,0,0
c_108,i5-11600KF,RTX5060TI,1080P,132,19481,22830,435,1299,32,1,0,0,0
c_109,i5-11600KF,RTX5070,1440P,107,19481,28904,485,1549,16,0,0,0,0
c_110,i5-11600KF,RTX5070,1440P,107,19481,28904,485,1599,32,0,0,0,0
c_111,i5-12400,RTX3050,1080P,78,18792,10750,285,699,16,1,0,0,0
c_112,i5-12400,RTX3050,1080P,78,18792,10750,285,749,32,1,0,0,0
c_113,i5-12400,RTX3060,1080P,98,18792,16780,355,899,16,1,0,0,0
c_114,i5-12400,RTX3060,1080P,98,18792,16780,355,949,32,1,0,0,0
c_115,i5-12400,RTX3060Ti,1080P,118,18792,20313,405,1099,16,1,0,0,0
c_116,i5-12400,RTX3060Ti,1080P,118,18792,20313,405,1149,32,1,0,0,0
c_117,i5-12400,RTX3070,1440P,88,18792,22171,455,1299,16,0,0,0,0
c_118,i5-12400,RTX3070,1440P,88,18792,22171,455,1349,32,0,0,0,0
c_119,i5-12400F,RTX3050,1080P,78,19521,10750,280,649,16,1,0,0,0
c_120,i5-12400F,RTX3050,1080P,78,19521,10750,280,699,32,1,0,0,0
c_121,i5-12400F,RTX3060,1080P,98,19521,16780,350,849,16,1,0,0,0
c_122,i5-12400F,RTX3060,1080P,98,19521,16780,350,899,32,1,0,0,0
c_123,i5-12400F,RTX3060Ti,1080P,118,19521,20313,400,1049,16,1,0,0,0
c_124,i5-12400F,RTX3060Ti,1080P,118,19521,20313,400,1099,32,1,0,0,0
c_125,i5-12400F,RTX3070,1440P,88,19521,22171,450,1249,16,0,0,0,0
c_126,i5-12400F,RTX3070,1440P,88,19521,22171,450,1299,32,0,0,0,0
c_127,i5-12600,RTX3050,1080P,82,21386,10750,295,799,16,1,0,0,0
c_128,i5-12600,RTX3050,1080P,82,21386,10750,295,849,32,1,0,0,0
c_129,i5-12600,RTX3060,1080P,102,21386,16780,365,999,16,1,0,0,0
c_130,i5-12600,RTX3060,1080P,102,21386,16780,365,1049,32,1,0,0,0
c_131,i5-12600,RTX3060Ti,1080P,122,21386,20313,415,1199,16,1,0,0,0
c_132,i5-12600,RTX3060Ti,1080P,122,21386,20313,415,1249,32,1,0,0,0
c_133,i5-12600,RTX3070,1440P,92,21386,22171,465,1399,16,1,0,0,0
c_134,i5-12600,RTX3070,1440P,92,21386,22171,465,1449,32,1,0,0,0
c_135,i5-12600K,RTX3050,1080P,88,27591,10750,330,949,16,1,0,0,0
c_136,i5-12600K,RTX3050,1080P,88,27591,10750,330,999,32,1,0,0,0
c_137,i5-12600K,RTX3060,1080P,108,27591,16780,400,1149,16,1,1,0,0
c_138,i5-12600K,RTX3060,1080P,108,27591,16780,400,1199,32,1,1,1,0
c_139,i5-12600K,RTX3060Ti,1080P,128,27591,20313,450,1349,16,1,1,0,0
c_140,i5-12600K,RTX3060Ti,1080P,128,27591,20313,450,1399,32,1,1,1,0
c_141,i5-12600K,RTX3070,1440P,98,27591,22171,500,1549,16,1,0,0,0
c_142,i5-12600K,RTX3070,1440P,98,27591,22171,500,1599,32,1,0,0,0
c_143,i5-12600KF,RTX3050,1080P,88,27592,10750,325,899,16,1,0,0,0
c_144,i5-12600KF,RTX3050,1080P,88,27592,10750,325,949,32,1,0,0,0
c_145,i5-12600KF,RTX3060,1080P,108,27592,16780,395,1099,16,1,1,0,0
c_146,i5-12600KF,RTX3060,1080P,108,27592,16780,395,1149,32,1,1,1,0
c_147,i5-12600KF,RTX3060Ti,1080P,128,27592,20313,445,1299,16,1,1,0,0
c_148,i5-12600KF,RTX3060Ti,1080P,128,27592,20313,445,1349,32,1,1,1,0
c_149,i5-12600KF,RTX3070,1440P,98,27592,22171,495,1499,16,1,0,0,0
c_150,i5-12600KF,RTX3070,1440P,98,27592,22171,495,1549,32,1,0,0,0
c_151,i5-12400,RTX4060,1080P,103,18792,19550,325,949,16,1,0,0,0
c_152,i5-12400,RTX4060,1080P,103,18792,19550,325,999,32,1,0,0,0
c_153,i5-12400,RTX4060Ti,1080P,123,18792,22712,375,1149,16,1,0,0,0
c_154,i5-12400,RTX4060Ti,1080P,123,18792,22712,375,1199,32,1,0,0,0
c_155,i5-12400,RTX4070,1440P,98,18792,26921,425,1449,16,0,0,0,0
c_156,i5-12400,RTX4070,1440P,98,18792,26921,425,1499,32,0,0,0,0
c_157,i5-12400F,RTX4060,1080P,103,19521,19550,320,899,16,1,0,0,0
c_158,i5-12400F,RTX4060,1080P,103,19521,19550,320,949,32,1,0,0,0
c_159,i5-12400F,RTX4060Ti,1080P,123,19521,22712,370,1099,16,1,0,0,0
c_160,i5-12400F,RTX4060Ti,1080P,123,19521,22712,370,1149,32,1,0,0,0
c_161,i5-12400F,RTX4070,1440P,98,19521,26921,420,1399,16,0,0,0,0
c_162,i5-12400F,RTX4070,1440P,98,19521,26921,420,1449,32,0,0,0,0
c_163,i5-12600,RTX4060,1080P,107,21386,19550,335,1049,16,1,0,0,0
c_164,i5-12600,RTX4060,1080P,107,21386,19550,335,1099,32,1,0,0,0
c_165,i5-12600,RTX4060Ti,1080P,127,21386,22712,385,1249,16,1,0,0,0
c_166,i5-12600,RTX4060Ti,1080P,127,21386,22712,385,1299,32,1,0,0,0
c_167,i5-12600,RTX4070,1440P,102,21386,26921,435,1549,16,1,0,0,0
c_168,i5-12600,RTX4070,1440P,102,21386,26921,435,1599,32,1,0,0,0
c_169,i5-12600K,RTX4060,1080P,113,27591,19550,360,1199,16,1,1,0,0
c_170,i5-12600K,RTX4060,1080P,113,27591,19550,360,1249,32,1,1,1,0
c_171,i5-12600K,RTX4060Ti,1080P,133,27591,22712,410,1399,16,1,1,0,0
c_172,i5-12600K,RTX4060Ti,1080P,133,27591,22712,410,1449,32,1,1,1,0
c_173,i5-12600K,RTX4070,1440P,108,27591,26921,460,1699,16,1,0,0,0
c_174,i5-12600K,RTX4070,1440P,108,27591,26921,460,1749,32,1,0,0,0
c_175,i5-12600KF,RTX4060,1080P,113,27592,19550,355,1149,16,1,1,0,0
c_176,i5-12600KF,RTX4060,1080P,113,27592,19550,355,1199,32,1,1,1,0
c_177,i5-12600KF,RTX4060Ti,1080P,133,27592,22712,405,1349,16,1,1,0,0
c_178,i5-12600KF,RTX4060Ti,1080P,133,27592,22712,405,1399,32,1,1,1,0
c_179,i5-12600KF,RTX4070,1440P,108,27592,26921,455,1649,16,1,0,0,0
c_180,i5-12600KF,RTX4070,1440P,108,27592,26921,455,1699,32,1,0,0,0
c_181,i5-12400,RTX5050,1080P,83,18792,16997,295,749,16,1,0,0,0
c_182,i5-12400,RTX5050,1080P,83,18792,16997,295,799,32,1,0,0,0
c_183,i5-12400,RTX5060,1080P,108,18792,20889,365,999,16,1,0,0,0
c_184,i5-12400,RTX5060,1080P,108,18792,20889,365,1049,32,1,0,0,0
c_185,i5-12400,RTX5060Ti,1080P,128,18792,22830,415,1199,16,1,0,0,0
c_186,i5-12400,RTX5060Ti,1080P,128,18792,22830,415,1249,32,1,0,0,0
c_187,i5-12400,RTX5070,1440P,103,18792,28904,465,1499,16,0,0,0,0
c_188,i5-12400,RTX5070,1440P,103,18792,28904,465,1549,32,0,0,0,0
c_189,i5-12400F,RTX5050,1080P,83,19521,16997,290,699,16,1,0,0,0
c_190,i5-12400F,RTX5050,1080P,83,19521,16997,290,749,32,1,0,0,0
c_191,i5-12400F,RTX5060,1080P,108,19521,20889,360,949,16,1,0,0,0
c_192,i5-12400F,RTX5060,1080P,108,19521,20889,360,999,32,1,0,0,0
c_193,i5-12400F,RTX5060Ti,1080P,128,19521,22830,410,1149,16,1,0,0,0
c_194,i5-12400F,RTX5060Ti,1080P,128,19521,22830,410,1199,32,1,0,0,0
c_195,i5-12400F,RTX5070,1440P,103,19521,28904,460,1449,16,0,0,0,0
c_196,i5-12400F,RTX5070,1440P,103,19521,28904,460,1499,32,0,0,0,0
c_197,i5-12600,RTX5050,1080P,87,21386,16997,305,849,16,1,0,0,0
c_198,i5-12600,RTX5050,1080P,87,21386,16997,305,899,32,1,0,0,0
c_199,i5-12600,RTX5060,1080P,112,21386,20889,375,1099,16,1,0,0,0
c_200,i5-12600,RTX5060,1080P,112,21386,20889,375,1149,32,1,0,0,0
c_201,i5-12600,RTX5060Ti,1080P,132,21386,22830,425,1299,16,1,0,0,0
c_202,i5-12600,RTX5060Ti,1080P,132,21386,22830,425,1349,32,1,0,0,0
c_203,i5-12600,RTX5070,1440P,107,21386,28904,475,1599,16,1,0,0,0
c_204,i5-12600,RTX5070,1440P,107,21386,28904,475,1649,32,1,0,0,0
c_205,i5-12600K,RTX5050,1080P,93,27591,16997,340,999,16,1,1,0,0
c_206,i5-12600K,RTX5050,1080P,93,27591,16997,340,1049,32,1,1,1,0
c_207,i5-12600K,RTX5060,1080P,118,27591,20889,410,1249,16,1,1,0,0
c_208,i5-12600K,RTX5060,1080P,118,27591,20889,410,1299,32,1,1,1,0
c_209,i5-12600K,RTX5060Ti,1080P,138,27591,22830,460,1449,16,1,1,0,0
c_210,i5-12600K,RTX5060Ti,1080P,138,27591,22830,460,1499,32,1,1,1,0
c_211,i5-12600K,RTX5070,1440P,113,27591,28904,510,1749,16,1,0,0,0
c_212,i5-12600K,RTX5070,1440P,113,27591,28904,510,1799,32,1,0,0,0
c_213,i5-12600KF,RTX5050,1080P,93,27592,16997,335,949,16,1,1,0,0
c_214,i5-12600KF,RTX5050,1080P,93,27592,16997,335,999,32,1,1,1,0
c_215,i5-12600KF,RTX5060,1080P,118,27592,20889,405,1199,16,1,1,0,0
c_216,i5-12600KF,RTX5060,1080P,118,27592,20889,405,1249,32,1,1,1,0
c_217,i5-12600KF,RTX5060Ti,1080P,138,27592,22830,455,1399,16,1,1,0,0
c_218,i5-12600KF,RTX5060Ti,1080P,138,27592,22830,455,1449,32,1,1,1,0
c_219,i5-12600KF,RTX5070,1440P,113,27592,28904,505,1699,16,1,0,0,0
c_220,i5-12600KF,RTX5070,1440P,113,27592,28904,505,1749,32,1,0,0,0
c_221,i5-13400,RTX3050,1080P,82,23752,10750,290,749,16,1,0,0,0
c_222,i5-13400,RTX3050,1080P,82,23752,10750,290,799,32,1,0,0,0
c_223,i5-13400,RTX3060,1080P,102,23752,16780,360,949,16,1,0,0,0
c_224,i5-13400,RTX3060,1080P,102,23752,16780,360,999,32,1,0,0,0
c_225,i5-13400,RTX3060Ti,1080P,122,23752,20313,410,1149,16,1,0,0,0
c_226,i5-13400,RTX3060Ti,1080P,122,23752,20313,410,1199,32,1,0,0,0
c_227,i5-13400,RTX3070,1440P,92,23752,22171,460,1399,16,1,0,0,0
c_228,i5-13400,RTX3070,1440P,92,23752,22171,460,1449,32,1,0,0,0
c_229,i5-13400F,RTX3050,1080P,82,25025,10750,285,699,16,1,0,0,0
c_230,i5-13400F,RTX3050,1080P,82,25025,10750,285,749,32,1,0,0,0
c_231,i5-13400F,RTX3060,1080P,102,25025,16780,355,899,16,1,0,0,0
c_232,i5-13400F,RTX3060,1080P,102,25025,16780,355,949,32,1,0,0,0
c_233,i5-13400F,RTX3060Ti,1080P,122,25025,20313,405,1099,16,1,0,0,0
c_234,i5-13400F,RTX3060Ti,1080P,122,25025,20313,405,1149,32,1,0,0,0
c_235,i5-13400F,RTX3070,1440P,92,25025,22171,455,1349,16,1,0,0,0
c_236,i5-13400F,RTX3070,1440P,92,25025,22171,455,1399,32,1,0,0,0
c_237,i5-13600,RTX3050,1080P,88,31558,10750,305,849,16,1,0,0,0
c_238,i5-13600,RTX3050,1080P,88,31558,10750,305,899,32,1,0,0,0
c_239,i5-13600,RTX3060,1080P,108,31558,16780,375,1099,16,1,1,0,0
c_240,i5-13600,RTX3060,1080P,108,31558,16780,375,1149,32,1,1,1,0
c_241,i5-13600,RTX3060Ti,1080P,128,31558,20313,425,1299,16,1,1,0,0
c_242,i5-13600,RTX3060Ti,1080P,128,31558,20313,425,1349,32,1,1,1,0
c_243,i5-13600,RTX3070,1440P,98,31558,22171,475,1549,16,1,0,0,0
c_244,i5-13600,RTX3070,1440P,98,31558,22171,475,1599,32,1,0,0,0
c_245,i5-13600K,RTX3050,1080P,95,37661,10750,340,999,16,1,0,0,0
c_246,i5-13600K,RTX3050,1080P,95,37661,10750,340,1049,32,1,0,0,0
c_247,i5-13600K,RTX3060,1080P,115,37661,16780,410,1249,16,1,1,0,0
c_248,i5-13600K,RTX3060,1080P,115,37661,16780,410,1299,32,1,1,1,0
c_249,i5-13600K,RTX3060Ti,1080P,135,37661,20313,460,1449,16,1,1,0,0
c_250,i5-13600K,RTX3060Ti,1080P,135,37661,20313,460,1499,32,1,1,1,0
c_251,i5-13600K,RTX3070,1440P,105,37661,22171,510,1699,16,1,0,0,0
c_252,i5-13600K,RTX3070,1440P,105,37661,22171,510,1749,32,1,0,1,0
c_253,i5-13600KF,RTX3050,1080P,95,37447,10750,335,949,16,1,0,0,0
c_254,i5-13600KF,RTX3050,1080P,95,37447,10750,335,999,32,1,0,0,0
c_255,i5-13600KF,RTX3060,1080P,115,37447,16780,405,1199,16,1,1,0,0
c_256,i5-13600KF,RTX3060,1080P,115,37447,16780,405,1249,32,1,1,1,0
c_257,i5-13600KF,RTX3060Ti,1080P,135,37447,20313,455,1399,16,1,1,0,0
c_258,i5-13600KF,RTX3060Ti,1080P,135,37447,20313,455,1449,32,1,1,1,0
c_259,i5-13600KF,RTX3070,1440P,105,37447,22171,505,1649,16,1,0,0,0
c_260,i5-13600KF,RTX3070,1440P,105,37447,22171,505,1699,32,1,0,1,0
c_261,i5-13400,RTX4060,1080P,107,23752,19550,330,999,16,1,0,0,0
c_262,i5-13400,RTX4060,1080P,107,23752,19550,330,1049,32,1,0,0,0
c_263,i5-13400,RTX4060Ti,1080P,127,23752,22712,380,1199,16,1,0,0,0
c_264,i5-13400,RTX4060Ti,1080P,127,23752,22712,380,1249,32,1,0,0,0
c_265,i5-13400,RTX4070,1440P,102,23752,26921,430,1499,16,1,0,0,0
c_266,i5-13400,RTX4070,1440P,102,23752,26921,430,1549,32,1,0,0,0
c_267,i5-13400F,RTX4060,1080P,107,25025,19550,325,949,16,1,0,0,0
c_268,i5-13400F,RTX4060,1080P,107,25025,19550,325,999,32,1,0,0,0
c_269,i5-13400F,RTX4060Ti,1080P,127,25025,22712,375,1149,16,1,0,0,0
c_270,i5-13400F,RTX4060Ti,1080P,127,25025,22712,375,1199,32,1,0,0,0
c_271,i5-13400F,RTX4070,1440P,102,25025,26921,425,1449,16,1,0,0,0
c_272,i5-13400F,RTX4070,1440P,102,25025,26921,425,1499,32,1,0,0,0
c_273,i5-13600,RTX4060,1080P,113,31558,19550,345,1149,16,1,1,0,0
c_274,i5-13600,RTX4060,1080P,113,31558,19550,345,1199,32,1,1,1,0
c_275,i5-13600,RTX4060Ti,1080P,133,31558,22712,395,1349,16,1,1,0,0
c_276,i5-13600,RTX4060Ti,1080P,133,31558,22712,395,1399,32,1,1,1,0
c_277,i5-13600,RTX4070,1440P,108,31558,26921,445,1649,16,1,0,0,0
c_278,i5-13600,RTX4070,1440P,108,31558,26921,445,1699,32,1,0,0,0
c_279,i5-13600K,RTX4060,1080P,120,37661,19550,370,1299,16,1,1,0,0
c_280,i5-13600K,RTX4060,1080P,120,37661,19550,370,1349,32,1,1,1,0
c_281,i5-13600K,RTX4060Ti,1080P,140,37661,22712,420,1499,16,1,1,0,0
c_282,i5-13600K,RTX4060Ti,1080P,140,37661,22712,420,1549,32,1,1,1,0
c_283,i5-13600K,RTX4070,1440P,115,37661,26921,470,1799,16,1,1,0,0
c_284,i5-13600K,RTX4070,1440P,115,37661,26921,470,1849,32,1,1,1,0
c_285,i5-13600KF,RTX4060,1080P,120,37447,19550,365,1249,16,1,1,0,0
c_286,i5-13600KF,RTX4060,1080P,120,37447,19550,365,1299,32,1,1,1,0
c_287,i5-13600KF,RTX4060Ti,1080P,140,37447,22712,415,1449,16,1,1,0,0
c_288,i5-13600KF,RTX4060Ti,1080P,140,37447,22712,415,1499,32,1,1,1,0
c_289,i5-13600KF,RTX4070,1440P,115,37447,26921,465,1749,16,1,1,0,0
c_290,i5-13600KF,RTX4070,1440P,115,37447,26921,465,1799,32,1,1,1,0
c_291,i5-13400,RTX5050,1080P,87,23752,16997,300,799,16,1,0,0,0
c_292,i5-13400,RTX5050,1080P,87,23752,16997,300,849,32,1,0,0,0
c_293,i5-13400,RTX5060,1080P,112,23752,20889,370,1049,16,1,0,0,0
c_294,i5-13400,RTX5060,1080P,112,23752,20889,370,1099,32,1,0,0,0
c_295,i5-13400,RTX5060Ti,1080P,132,23752,22830,420,1249,16,1,0,0,0
c_296,i5-13400,RTX5060Ti,1080P,132,23752,22830,420,1299,32,1,0,0,0
c_297,i5-13400,RTX5070,1440P,107,23752,28904,470,1549,16,1,0,0,0
c_298,i5-13400,RTX5070,1440P,107,23752,28904,470,1599,32,1,0,0,0
c_299,i5-13400F,RTX5050,1080P,87,25025,16997,295,749,16,1,0,0,0
c_300,i5-13400F,RTX5050,1080P,87,25025,16997,295,799,32,1,0,0,0
c_301,i5-13400F,RTX5060,1080P,112,25025,20889,365,999,16,1,0,0,0
c_302,i5-13400F,RTX5060,1080P,112,25025,20889,365,1049,32,1,0,0,0
c_303,i5-13400F,RTX5060Ti,1080P,132,25025,22830,415,1199,16,1,0,0,0
c_304,i5-13400F,RTX5060Ti,1080P,132,25025,22830,415,1249,32,1,0,0,0
c_305,i5-13400F,RTX5070,1440P,107,25025,28904,465,1499,16,1,0,0,0
c_306,i5-13400F,RTX5070,1440P,107,25025,28904,465,1549,32,1,0,0,0
c_307,i5-13600,RTX5050,1080P,93,31558,16997,315,899,16,1,1,0,0
c_308,i5-13600,RTX5050,1080P,93,31558,16997,315,949,32,1,1,1,0
c_309,i5-13600,RTX5060,1080P,118,31558,20889,385,1149,16,1,1,0,0
c_310,i5-13600,RTX5060,1080P,118,31558,20889,385,1199,32,1,1,1,0
c_311,i5-13600,RTX5060Ti,1080P,138,31558,22830,435,1349,16,1,1,0,0
c_312,i5-13600,RTX5060Ti,1080P,138,31558,22830,435,1399,32,1,1,1,0
c_313,i5-13600,RTX5070,1440P,113,31558,28904,485,1649,16,1,0,0,0
